Comment,Designator,Footprint,Qty,Footprint source,DNP
0R DXL_DATA->RX,R2,0603,1,dimension IS the standard,
0R DXL_DATA->U3.Y,R1,0603,1,dimension IS the standard,
100n,C4 C5 C6 C7,0603,4,dimension IS the standard,
100n NRST,C8,0603,1,dimension IS the standard,
10n BYPASS,C3,0603,1,dimension IS the standard,
1u CIN,C1,0603,1,dimension IS the standard,
3V3,TP4,test-point,1,dimension IS the standard,
4u7 COUT,C2,0805,1,dimension IS the standard,
74LVC1G125,U3,sot753,1,"confirmed: Nexperia SOT753 package information (31 May 2022) Fig. 2 reflow footprint: lands 0.55 wide, pitch 0.95, outer 3.45 / inner 1.95 (length 0.75 and row centres +/-1.35 derived); pin order 74LVC1G125 Rev 17.1 §6.2 Table 3",
DXL bus (B3B-EH-A),J1 J2 J3,jst-b3b-eh-a,3,"confirmed: JST eEH.pdf 'PC board layout' (jst-mfg.com, fetched 2026-09-02): holes dia 0.9 +0.1/-0 at pitch 2.5 +/-0.05; B3B-EH-A body 5.0 (pin span) x 10.0 (housing). Named by part:xl330-m288-t connector 'PCB Header | JST B3B-EH-A' and by wiring/CABLES.md rows 6, 7, 12",
GND,TP5,test-point,1,dimension IS the standard,
LP2985A-33DBVR,U4,sot-23-5,1,"confirmed: TI SLVS522S read: 'Package: 5-pin SOT-23 (DBV)', '2.9mm x 2.8mm'; the JEDEC MO-178AA outline the calculator used is the DBV body, and Figure 4-1 gives the pin order the netlist above uses",
LSM6DSV16X,U1,lga-14l-2p5x3,1,"confirmed: ST DS13510 Rev 4 (May 2023) Figure 33 'LGA-14L 2.5 x 3.0 x 0.86 mm package outline and mechanical data', p.175/198: pads 14x 0.25+/-0.05 by 14x 0.475+/-0.05, pitch 0.5, column span 1.5, row span 1, edge inset 4x (0.1); body 2.50 x 3.00 +/-0.1. Column/row centres 1.1625 / 0.9125 are DERIVED from those callouts, not printed on the figure. Bottom view mirrored to a top-view land pattern. ce-parts/lsm6dsv16x/datasheet.pdf",
NRST,TP3,test-point,1,dimension IS the standard,
STM32G031F6P6,U2,tssop-20,1,"confirmed: ST DS12992 Rev 4 §6.4 read: 'TSSOP20 is a 20-lead, 6.5 x 4.4 mm thin small-outline package with 0.65 mm pitch' — the JEDEC MO-153AC outline the calculator used is the outline this part is bonded in (Table 76 'TSSOP20 - Mechanical data')",
SWCLK,TP2,test-point,1,dimension IS the standard,
SWDIO,TP1,test-point,1,dimension IS the standard,
