Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
U1,LSM6DSV16X,lga-14l-2p5x3,24.0000mm,13.5000mm,0.00,top
U2,STM32G031F6P6,tssop-20,10.0000mm,13.0000mm,0.00,top
U3,74LVC1G125,sot753,20.0000mm,7.6000mm,0.00,top
U4,LP2985A-33DBVR,sot-23-5,5.0000mm,19.5000mm,0.00,top
J1,DXL bus (B3B-EH-A),jst-b3b-eh-a,8.0000mm,2.6000mm,0.00,top
J2,DXL bus (B3B-EH-A),jst-b3b-eh-a,25.0000mm,2.6000mm,0.00,top
J3,DXL bus (B3B-EH-A),jst-b3b-eh-a,26.0000mm,21.4000mm,180.00,top
C1,1u CIN,0603,10.0000mm,19.5000mm,0.00,top
C2,4u7 COUT,0805,13.5000mm,19.5000mm,0.00,top
C3,10n BYPASS,0603,17.5000mm,19.5000mm,0.00,top
C4,100n,0603,20.0000mm,16.5000mm,0.00,top
C5,100n,0603,27.5000mm,16.5000mm,0.00,top
C6,100n,0603,17.0000mm,13.0000mm,0.00,top
C7,100n,0603,24.0000mm,7.6000mm,90.00,top
C8,100n NRST,0603,17.0000mm,10.5000mm,0.00,top
R1,0R DXL_DATA->U3.Y,0603,16.0000mm,6.2000mm,0.00,top
R2,0R DXL_DATA->RX,0603,27.0000mm,7.6000mm,90.00,top
TP1,SWDIO,test-point,3.0000mm,22.5000mm,0.00,top
TP2,SWCLK,test-point,5.6000mm,22.5000mm,0.00,top
TP3,NRST,test-point,8.2000mm,22.5000mm,0.00,top
TP4,3V3,test-point,10.8000mm,22.5000mm,0.00,top
TP5,GND,test-point,13.4000mm,22.5000mm,0.00,top
