Comment,Designator,Footprint,Qty,Footprint source,DNP
0R DATA->RX,R4,0603,1,dimension IS the standard,
0R link VBAT->SERVO_V,R1,1206,1,dimension IS the standard,
100n,C4 C5 C6 C7 C8,0603,5,dimension IS the standard,
100n SERVO_V,C1,0603,1,dimension IS the standard,
100n U4 VCC,C3,0603,1,dimension IS the standard,
10k,R12 R13 R2,0603,3,dimension IS the standard,
40-pin GPIO,J1,header-2x20,1,dimension IS the standard,
74LVC1G125,U4,sot753,1,"confirmed: Nexperia SOT753 package information Fig. 2 reflow footprint read: 0.55 lands, 0.95 pitch, 3.45/1.95 extents; pin order 74LVC1G125 Rev 17.1 Table 3",
BMI088 (dormant),U3,bmi088-lga16,1,"confirmed: Bosch BST-BMI088-DS000-19 Fig. 11 read: the vendor's own recommended landing pattern (0.675 x 0.25 lands, 0.5 pitch, 3.0 x 4.5 extents); two callouts (0.925/1.675) unresolved and named in the footprint provenance",
DXL bus (B3B-EH-A),J3,jst-b3b-eh-a,1,confirmed: JST eEH.pdf PC board layout read: dia 0.9 +0.1/0 at 2.5+/-0.05,
HAT_1V8 (unsourced),TP1,test-point,1,dimension IS the standard,
Pololu D30V30F5,U2,pololu-d30v30f5,1,"confirmed: Pololu D30V30Fx dimension drawing (20 Oct 2023, reg32a) read: 6x dia1.02 on the 2.54/1.27 grid, board 17.8 x 20.3; pin order from the vendor's own pinout photo 0J12273",
Stemma J5 (SM04B-SRSS-TB),J5,jst-sh4-smt-side,1,UNCONFIRMED against the part datasheet — CHECK BEFORE ORDER,
TLV320AIC3104,U1,qfn-32,1,"confirmed: TI SLAS510G RHB0032E package outline read (PDF p.100-101, 4223442/B): body 4.9-5.1, pitch 0.5, lead 0.3-0.5 x 0.2-0.3, EP 3.45+/-0.1 — the qfn() arguments are those figures",
VBAT in (B2B-XH-A),J2,jst-b2b-xh-a,1,"confirmed: JST eXH.pdf PC board layout read: '2 circuits: dia 1', pitch 2.5+/-0.05",
bulk (value CANNOT DETERMINE),C2,1210,1,dimension IS the standard,
mic (B3B-PH-K-S),J7,jst-b3b-ph-k-s,1,confirmed: JST ePH.pdf PC board layout read: dia 0.7 +0.1/0 at 2+/-0.05,
speaker (B2B-PH-K-S),J6,jst-b2b-ph-k-s,1,confirmed: JST ePH.pdf PC board layout read: dia 0.7 +0.1/0 at 2+/-0.05,
