PASS two-boxes-a-blocked-along-+x                         got={'b'} want={'b'}
FAIL two-boxes-a-free-along--x                            got={'b'} want=set()
PASS two-boxes-a-free-along-+y                            got=set() want=set()
PASS two-boxes-b-blocked-along--x                         got={'a'} want={'a'}
FAIL peg-in-a-bore-comes-out-one-way-only                 got=[] want=['+z']
PASS sealed-core-has-no-free-direction                    got=[] want=[]
PASS sealed-pair-is-a-deadlock                            got=['core', 'shell'] want=['core', 'shell']
PASS deadlock-names-who-holds-it-in-all-26                got=(26, ['shell']) want=(26, ['shell'])
PASS sealed-shell-then-core-is-refused                    got=0 want=0
PASS sealed-refusal-names-the-blocker                     got=['shell'] want=['shell']
FAIL open-shell-no-deadlock                               got=2 want=0
FAIL open-shell-core-can-only-leave-upward                got=[] want=['+z']
PASS open-shell-shell-cannot-lift-off-upward              got=False want=False
PASS relation-is-asymmetric-shell-is-held                 got={'core'} want={'core'}
FAIL relation-is-asymmetric-core-is-free                  got={'shell'} want=set()
FAIL reversed-disassembly-is-a-valid-build-order          got=False want=True
FAIL open-shell-accepts-shell-then-core                   got=False want=True
FAIL interference-fit-free-at-1-cell                      got=False want=True
PASS interference-fit-welded-at-0-cells                   got=[] want=[]
PASS driver-between-plate-and-solid-wall                  got=1.0 want=1.0
PASS driver-through-a-hole-in-the-wall                    got=3.0 want=3.0
PASS driver-names-what-is-in-the-way                      got=True want=True
meshassembly selftest: 14/22 PASS  (break=1)

!!! ce-cad/cecad/meshassembly.py EXITED 1 !!!
