FAIL two-boxes-a-blocked-along-+x                         got=set() want={'b'}
FAIL two-boxes-a-free-along--x                            got={'b'} want=set()
PASS two-boxes-a-free-along-+y                            got=set() want=set()
FAIL two-boxes-b-blocked-along--x                         got=set() want={'a'}
FAIL peg-in-a-bore-comes-out-one-way-only                 got=['+x', '+x+y', '+x+y-z', '+x-y', '+x-y-z', '+x-z', '+y', '+y-z', '-x', '-x+y', '-x+y+z', '-x+z', '-x-y', '-x-y+z', '-y', '-y+z', '-z'] want=['+z']
FAIL sealed-core-has-no-free-direction                    got=['+x', '+x+y', '+x+y+z', '+x+y-z', '+x+z', '+x-y', '+x-y+z', '+x-y-z', '+x-z', '+y', '+y+z', '+y-z', '+z', '-x', '-x+y', '-x+y+z', '-x+y-z', '-x+z', '-x-y', '-x-y+z', '-x-y-z', '-x-z', '-y', '-y+z', '-y-z', '-z'] want=[]
FAIL sealed-pair-is-a-deadlock                            got=[] want=['core', 'shell']
FAIL deadlock-names-who-holds-it-in-all-26                got=(0, []) want=(26, ['shell'])
FAIL sealed-shell-then-core-is-refused                    got=26 want=0
FAIL sealed-refusal-names-the-blocker                     got=[] want=['shell']
PASS open-shell-no-deadlock                               got=0 want=0
FAIL open-shell-core-can-only-leave-upward                got=['+x', '+x+y', '+x+y-z', '+x-y', '+x-y-z', '+x-z', '+y', '+y-z', '-x', '-x+y', '-x+y+z', '-x+z', '-x-y', '-x-y+z', '-y', '-y+z', '-z'] want=['+z']
FAIL open-shell-shell-cannot-lift-off-upward              got=True want=False
FAIL relation-is-asymmetric-shell-is-held                 got=set() want={'core'}
FAIL relation-is-asymmetric-core-is-free                  got={'shell'} want=set()
PASS reversed-disassembly-is-a-valid-build-order          got=True want=True
PASS open-shell-accepts-shell-then-core                   got=True want=True
FAIL interference-fit-free-at-1-cell                      got=False want=True
FAIL interference-fit-welded-at-0-cells                   got=['+x', '+x+y', '+x+y-z', '+x-y', '+x-y-z', '+x-z', '+y', '+y-z', '-x', '-x+y', '-x+y+z', '-x+z', '-x-y', '-x-y+z', '-y', '-y+z', '-z'] want=[]
PASS driver-between-plate-and-solid-wall                  got=1.0 want=1.0
PASS driver-through-a-hole-in-the-wall                    got=3.0 want=3.0
PASS driver-names-what-is-in-the-way                      got=True want=True
meshassembly selftest: 7/22 PASS  (break=2)

!!! ce-cad/cecad/meshassembly.py EXITED 1 !!!
