PASS two-boxes-a-blocked-along-+x                         got={'b'} want={'b'}
PASS two-boxes-a-free-along--x                            got=set() want=set()
PASS two-boxes-a-free-along-+y                            got=set() want=set()
PASS two-boxes-b-blocked-along--x                         got={'a'} want={'a'}
PASS peg-in-a-bore-comes-out-one-way-only                 got=['+z'] want=['+z']
PASS sealed-core-has-no-free-direction                    got=[] want=[]
PASS sealed-pair-is-a-deadlock                            got=['core', 'shell'] want=['core', 'shell']
PASS deadlock-names-who-holds-it-in-all-26                got=(26, ['shell']) want=(26, ['shell'])
PASS sealed-shell-then-core-is-refused                    got=0 want=0
PASS sealed-refusal-names-the-blocker                     got=['shell'] want=['shell']
PASS open-shell-no-deadlock                               got=0 want=0
PASS open-shell-core-can-only-leave-upward                got=['+z'] want=['+z']
PASS open-shell-shell-cannot-lift-off-upward              got=False want=False
PASS relation-is-asymmetric-shell-is-held                 got={'core'} want={'core'}
PASS relation-is-asymmetric-core-is-free                  got=set() want=set()
PASS reversed-disassembly-is-a-valid-build-order          got=True want=True
PASS open-shell-accepts-shell-then-core                   got=True want=True
PASS interference-fit-free-at-1-cell                      got=True want=True
PASS interference-fit-welded-at-0-cells                   got=[] want=[]
PASS driver-between-plate-and-solid-wall                  got=1.0 want=1.0
PASS driver-through-a-hole-in-the-wall                    got=3.0 want=3.0
PASS driver-names-what-is-in-the-way                      got=True want=True
meshassembly selftest: 22/22 PASS  (break=0)
