section,item,qty_per_robot,unit_price,currency,price_basis,vendor,source_url,note
bought,Dynamixel XL330-M288-T servo,15,23.90,USD,list @1; no tiers published; OEM quote CANNOT DETERMINE,ROBOTIS intl,https://en.robotis.com/shop_en/item.php?it_id=902-0163-000,sub-variant M288 vs M077 not stated by Pollen (community: M288-T); US price $27.49 https://www.robotis.us/dynamixel-xl330-m288-t/
bought,Robot Cable-X3P 180 mm (10-pack),2,15.50,USD,per 10-pack; 16 cables needed -> 2 packs,ROBOTIS intl,https://en.robotis.com/shop_en/item.php?it_id=903-0251-000,lengths per link CANNOT DETERMINE; 180 mm is the priced bracket
bought,Radxa Zero 3W (1 GB/32 GB per Pollen),1,CANNOT DETERMINE,,the 1GB/32GB SKU does not exist in Radxa's own SKU table; nearest 1GB/8GB header $23 (sold out),ALLNET China,https://shop.allnetchina.cn/products/copy-of-radxa-zero-3w,product brief https://dl.radxa.com/zero3/docs/hw/3w/radxa_zero_3w_product_brief.pdf
bought,NP-F550 2600 mAh 2S pack + dual-charger share,1,24.95,USD,2-pack + dual charger $49.90 / 2,NextBatteries,https://www.nextbatteries.com/products/sony-np-f550-battery-2-pack-2600mah-l-series-dual-charger,Pollen reference: 2 packs + charger EUR33/$39 https://store.pollen-robotics.com/products/charger-pack
bought,IMX219 M12-mount camera board + lens (Arducam B0183),1,23.99,USD,sale price (regular $39.99),UCTRONICS,https://www.uctronics.com/camera-modules/camera-for-nvidia/arducam-8-mp-sony-imx219-m12-mount-low-distortion-camera-module-for-nvidia-jetson-nano.html,exact production module CANNOT DETERMINE; FOV 'still being finalised' (press kit)
bought,M12 wide-angle lens (if bought separately),1,7.99,USD,@1,UCTRONICS (Arducam M40180H13L),https://www.uctronics.com/lens/m12-mount-lens.html?product_list_mode=list,FOV CANNOT DETERMINE; B0183 already includes a lens
bought,ToF 8x8 breakout (VL53L8CX carrier),1,24.95,USD,@1; 5+ $22.95; 100+ $19.43,Pololu #3419,https://www.pololu.com/product/3419,generation VL53L5CX vs L8CX CANNOT DETERMINE (both drivers vendored); bare chip $8.77 https://www.digikey.com/en/products/detail/stmicroelectronics/VL53L8CXV0GC-1/18085238
bought,ball bearing 22x16x4 (MR1622-ZZ),11,5.90,NZD,+GST @1; no tiers; MOQ-1000 factory US$1-4/pc,NZ Miniature Bearings,https://nzminiaturebearings.com/product/16x22x4-mm-mr1622-zz-bearing-sku-00206030.html,MPN of Pollen's 'seeed_bearing' CANNOT DETERMINE
bought,ball bearing 15x10x3 (MR6700 open),3,4.86,USD,"@1; -10% at 25-49, -15% at 50+",Bearings Direct,https://bearingsdirect.com/6700-ball-bearing-10x15x3-open-mr6700/,ID ~10 community-measured
bought,speaker 35x25x7 2W 8ohm,1,CANNOT DETERMINE,,exact part unknown; nearest catalogued substitute Soberton SPM-2035NU $9.78 (39x20x8.2),(Soberton via DigiKey),https://www.digikey.com/en/products/detail/soberton-inc/SPM-2035NU/10638200,placeholder box in MJCF; real part not modelled
bought,microphone(s),1,CANNOT DETERMINE,,part/count/placement unknown; codec input Mic3R mono (community),,,press kit says 'Microphones' plural
bought,NFC reader IC + 2 antennas,1,CANNOT DETERMINE,,nothing in the runtime source mentions NFC,,,"press kit: one antenna head, one beak"
bought,camera-use indicator LED,1,CANNOT DETERMINE,,GPIO and part unknown,,,press kit
bought,Bluetooth gamepad (Xbox-style),1,included with robot,,,Pollen,https://store.pollen-robotics.com/products/microduck,model CANNOT DETERMINE
