Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C2, C27, C29, C3, C31, C33, C35, C4, C40, C41, C42, C43, C6",0402,15,1u,C52923
"C11, C14, C15, C16, C17, C18, C26, C28, C30, C32, C36, C38",0402,12,100n,C307331
"C12, C13, C37, C5, C7",0603,5,10u,C1691
C19,CP_Elec_6.3x7.7,1,10u 63V,C72488
C20,0402,1,100n 50V,C307331
"C21, C22",0603,2,22u 6V3,C84419
"C23, C24, C39",0402,3,100n 6V3,C1525
C25,0402,1,DNP-100n,
"C34, C44",0402,2,10n,C15195
"C8, C9",0402,2,220n,C71693
D1,SOT-323_SC-70,1,BAT54W,C78606
D2,D_SOD-123,1,3V3 Zener Diode,C19077392
D4,D_SOD-323,1,5V1,C151348
FB1,0402,1,1.3A 600R@100MHz,C76884
"FB2, FB3",0402,2,2A - 120R@100MHz,C88970
H2,Logo_HF_2025,1,Logo HF 2025,
"J1, J2, J9",Wago_2059-302_998-403,3,Wago-2,C2765060
"J11, J3",JST_EH_B4B-EH-A_1x04_P2.50mm_Vertical,2,Dynamixel-4,C160258
"J13, J14",JST_EH_B3B-EH-A_1x03_P2.50mm_Vertical,2,Dynamixel-3,C160259
J4,PinHeader_2x20_P2.54mm_Vertical_with_rasp_HAT_zero_SMD_connector,1,Female Header 2x20 SMD,C2685112
"J5, J6, J7, J8",JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,4,JST SH,C160390
L4,L_Bourns_SRN6045TA,1,"6,8u 2A",C57254
MK1,MIC-SMD_4P-L2.8-W1.9-P1.84-TL,1,Microphone_MEMS,C7587901
Q1,SOT-23,1,MMBT3906,C727128
Q2,TSOT-23,1,SI2312CDS-T1-GE3,C142518
"R1, R12, R13, R2, R20, R21, R22, R23, R24, R26, R27, R29, R31, R32, R34, R35, R38, R39, R6",0402,19,10k,C25744
"R10, R11",0402,2,DNP-10k,
"R14, R15, R18, R19, R25, R3, R4, R40, R5, R7, R9",0402,11,0R,C17168
"R16, R17, R41",0402,3,DNP-0R,
R28,0402,1,20k,C25765
R33,0402,1,150R,C138054
"R36, R37",0402,2,DNP-1M,C17168
R8,0402,1,100R,C2906860
TH1,0603,1,100R thermistor,C913703
"TP2, TP3, TP4",TestPoint_Loop_D2.50mm_Drill1.0mm_LowProfile,3,TestPoint,
U1,SOIC-16_3.9x9.9mm_P1.27mm,1,PAM8406D,C86270
U10,TSOT-23-6,1,LM5050-1,C473393
U11,Bosch_LGA-16_4.5x3mm_P0.5mm_LayoutBorder7x1y_ClockwisePinNumbering,1,BMI088,C194919
U2,VQFN-32-1EP_5x5mm_P0.5mm_EP3.5x3.5mm,1,TLV320AIC3104IRHBR,C181753
U3,SOT-23-3,1,XC6206P182MR,C347373
U4,TDFN-8_L3.0-W2.0-P0.50-BL-EP,1,DNP-CAT24C32HU4,
U5,SOT-23-5,1,74LVC1G08,C7666
U6,SOT-23-5,1,SN74LVC1G125DBV,C3040625
U7,SOT-23-5,1,SN74LVC1G126DBVR,C7834
U8,MSOP-8-1EP_3x3mm_P0.65mm_EP1.5x1.8mm,1,SIT3088E,C2922535
U9,TSOT-23-6,1,AP63205,C2071056
Y1,Oscillator_SMD_Abracon_ASDMB-4Pin_2.5x2.0mm,1,12 MHz,C7425459
