line_id,section,item,qty_per_robot,qty_unit,verdict,unit_price,currency,per_robot_cost,price_basis,vendor,source_url,fetched,note
B1,actuator,Dynamixel XL330-M288-T smart servo,15,,PASS,23.90000,USD,358.5000,"cheapest READ USD offer at the tier a 1-robot order reaches (tier 1+); vendor publishes no tier table, so @1 is a CEILING; 902-0163-000",ROBOTIS International,https://en.robotis.com/shop_en/item.php?it_id=902-0163-000,2026-09-02,"Pollen never states M288 vs M077 (SPEC.md §5). Both are $23.90 at ROBOTIS intl, so the price line does not depend on it; the gear ratio does."
B2,connector,"Robot Cable-X3P 180 mm, 10-pack (Dynamixel bus leads)",2,,PASS,15.50000,USD,31.0000,"cheapest READ USD offer at the tier a 1-robot order reaches (tier 1+); vendor publishes no tier table, so @1 is a CEILING; 903-0251-000",ROBOTIS International,https://en.robotis.com/shop_en/item.php?it_id=903-0251-000,2026-09-02,confirmed at vendor
B3,compute,Radxa ZERO 3W single-board computer,1,,FAIL,23.00000,USD,23.0000,"cheapest READ USD offer at the tier a 1-robot order reaches (tier 1+); vendor publishes no tier table, so @1 is a CEILING; RS107-D1E8H1W15 (1 GB / 8 GB eMMC, header); prices RS107-D1E8H1W15, the 1 GB / 8 GB board - NOT the 1 GB / 32 GB configuration this line specifies, which is absent from Radxa's own SKU table - and that variant read 'Sold out' on the fetch date. The catalogue 32 GB part on the same page is $50 / $51. The line is graded FAIL; THIS LINE IS GRADED FAIL - the price is readable, the line is not graded buyable",ALLNET China,https://shop.allnetchina.cn/products/copy-of-radxa-zero-3w,2026-09-02,"Radxa's product brief RAD-DOC-0084 rev 1.10 §7 'Models and SKU' (https://dl.radxa.com/zero3/docs/hw/3w/radxa_zero_3w_product_brief.pdf) lists 1GB/none, 1GB/8GB, 2GB/none, 2GB/16GB, 4GB/none, 4GB/32GB, 8GB/none, 8GB/64GB. There is no 1 GB / 32 GB part. Pollen's press-kit figure is therefore either a custom Radxa build or a mis-statement of the 1 GB / 8 GB catalogue part (RS107-D1E8H1W15). What settles it: lsblk on a production unit, or Pollen naming the SKU."
B4,power,"NP-F550-form-factor 2S Li-ion pack, 7.2 V, 2600 mAh (+ dual-charger share)",1,,PASS,24.95000,USD,24.9500,"cheapest READ USD offer at the tier a 1-robot order reaches (tier 1+); vendor publishes no tier table, so @1 is a CEILING; NP-F550 2600 mAh 2-pack + dual charger",NextBatteries,https://www.nextbatteries.com/products/sony-np-f550-battery-2-pack-2600mah-l-series-dual-charger,2026-09-02,"LANE C's finding, read 2026-09-02 from ce-parts/np-f550/component.json: 'NP-F550' names Sony's ORIGINAL L-series pack, which Sony rates 1500 mAh / 10.8 Wh. A 2600 mAh 'NP-F550' is NECESSARILY a third-party pack in Sony's shape, and no source names whose. The mesh envelope is 38.6 x 20.6 x 70.8 mm (Pollen's np_f970 mesh); Duracell's DR5 page states 70 x 38 x 20 mm - consistent to the millimetre. THIS DOES NOT CHANGE THE SOURCING LINE: the shape, the 7.2 V 2S chemistry and the 2600 mAh capacity are what is bought, and the cradle was checked against 38.6 x 20.6 x 70.8. What it changes is that no MPN can be put on a purchase order - only a specification."
B6,module,"IMX219 camera board, M12 mount, with lens",1,,PASS,15.90000,USD,15.9000,cheapest READ USD offer at the tier a 1-robot order reaches (tier 1+); 102110719,Seeed Studio,https://www.seeedstudio.com/IMX-219-CMOS-camera-module-M12-and-CS-camera-available-p-5372.html,2026-09-02,representative substitute
B7,module,M12 wide-angle lens (only if the camera board is bought bare),1,,CANNOT DETERMINE,7.99000,USD,7.9900,"cheapest READ USD offer at the tier a 1-robot order reaches (tier 1+); vendor publishes no tier table, so @1 is a CEILING; Arducam M40180H13L (SKU LN180); prices ONE of three candidate focal lengths on an FOV that Pollen has not fixed ($7.99 / $9.99 / $11.99); the line is graded CANNOT DETERMINE; THIS LINE IS GRADED CANNOT DETERMINE - the price is readable, the line is not graded buyable",UCTRONICS,https://www.uctronics.com/lens/m12-mount-lens/arducam-m12-mount-camera-lens-m40180h13l.html,2026-09-03,representative substitute; the required focal length is not fixed
B8,connector,"22-pin 0.5 mm MIPI CSI FFC ribbon, Radxa to camera",1,,PASS,3.95000,USD,3.9500,"cheapest READ USD offer at the tier a 1-robot order reaches (tier 1+); #5211 Raspberry Pi Zero FPC Camera Cable, 30 cm",Adafruit,https://www.adafruit.com/product/5211,2026-09-02,class identified; exact part and length unknown
B9,sensor,Time-of-Flight 8x8 multizone ranger (module or bare die),1,,PASS,22.70000,USD,22.7000,"cheapest READ USD offer at the tier a 1-robot order reaches (tier 1+); vendor publishes no tier table, so @1 is a CEILING; VL53L5CX-SATEL (ST's own breakout)",DigiKey,https://www.digikey.com/en/products/detail/stmicroelectronics/VL53L5CX-SATEL/14552430,2026-09-02,generation unresolved
B10,bearing,Ball bearing 22 x 16 x 4 mm (thin section),11,,PASS,4.00000,USD,44.0000,"cheapest READ USD offer at the tier a 1-robot order reaches (tier 1000+); vendor publishes no tier table, so @1 is a CEILING; MR1622 ZZ stainless","Jiang Xin Technology (Guangdong, via made-in-china.com)",https://jiangxin2020.en.made-in-china.com/product/IvxJnUDERBpq/China-Stainless-Steel-Ball-Bearing-16-22-4-Et2216-Set2216-A2216-MR1622-Zz.html,2026-09-02,"16 x 22 x 4 is NOT an ISO 67xx/61xxx size (6700 = 10x15x4, 6702 = 15x21x4). SMB Bearings' drawing ET2216-thin-section-bearing-16x22x4mm.pdf gives SAE52100 chrome steel, pressed-steel cage, static 62 kgf, dynamic 97 kgf, 11 000 rpm."
B11,bearing,Ball bearing 15 x 10 x 3 mm,3,,PASS,4.86000,USD,14.5800,cheapest READ USD offer at the tier a 1-robot order reaches (tier 1+); MR6700 open,Bearings Direct (US),https://bearingsdirect.com/6700-ball-bearing-10x15x3-open-mr6700/,2026-09-02,"6700 / 6700ZZ is 10 x 15 x 4, NOT x3 - VXB, FastEddy and Bearings Direct all list 6700-ZZ as 10x15x4. The 3 mm-wide part is the OPEN MR6700 / ISO 61700. If a shielded 10x15x3 is wanted the designation is 61700-2Z (FAG lists 61700-2Z-HLC)."
