advent_of_code			2022-12-01T20:02:18Z	false
AMP_for_hardware	Code for "Adversarial Motion Priors Make Good Substitutes for Complex Reward Functions"	NOASSERTION	2026-02-27T07:25:21Z	true
answermeplz			2016-10-26T12:46:00Z	false
AntoineWasRight			2023-03-22T16:42:46Z	false
apirrone.github.io			2026-08-16T21:07:23Z	false
AWD	Adverserial Waddle Dynamics	NOASSERTION	2026-07-25T12:54:06Z	true
ca_bot	Small cheap 3D printed robot dog		2024-12-30T08:18:13Z	false
CC-CC			2016-11-23T08:04:55Z	false
chords_trainer		Apache-2.0	2025-12-18T10:42:35Z	false
cigStats	Small C++ program showing "stats" to stay motivated to quit smoking		2018-07-19T08:11:21Z	false
cotire	CMake module to speed up builds.	MIT	2018-04-19T09:35:37Z	true
Cozmo	Repository about software controlling the robot Cozmo from the Anki company		2018-09-18T11:28:52Z	true
discord_scrap_bot		MIT	2026-01-07T13:40:22Z	false
duck_gym			2024-09-10T15:36:57Z	false
emacs	my emacs clone adding fullscreen support to CocoaEmacs	GPL-3.0	2016-11-14T08:58:17Z	true
ffmpeg_gpt	Using GPT to generate bash scripts that use ffmpeg commands to process videos		2026-01-07T09:50:54Z	false
FramesViewer	A simple live 6D frames viewer (and more)	MIT	2025-12-18T10:42:36Z	false
frames_viewer_rs			2025-02-19T10:24:08Z	false
GA_NN_experiment	Experimenting with genetic algorithms and neural networks		2017-05-04T09:55:23Z	false
Gdbinit	Gdbinit for OS X, iOS and others - x86, x86_64 and ARM		2017-04-28T01:24:39Z	true
gravityLed	Tiny "physics engine" for displaying balls bouncing around walls and each others on a led matrix (or other use).	MIT	2018-08-06T19:23:28Z	false
IJDAR2020_code3			2021-05-28T09:35:16Z	false
IsaacGymEnvs	Isaac Gym Reinforcement Learning Environments	NOASSERTION	2024-10-21T03:06:51Z	true
L3_Pong	Projet de Reseau de L3		2015-10-23T13:12:21Z	false
L3_ProgSys	Projet de Programmation Système		2016-01-11T03:38:49Z	false
L3_sudoku	Projet de Lisp		2015-12-02T18:36:23Z	false
LDJam20		GPL-3.0	2020-05-27T10:29:50Z	false
LearningHumanoidWalking	Training a humanoid robot for locomotion using Reinforcement Learning	BSD-2-Clause	2026-07-02T11:05:20Z	true
legged_gym	Isaac Gym Environments for Legged Robots	NOASSERTION	2026-01-06T20:42:59Z	true
M2_TSMA_Project	Nouveau dépôt pour le rendu du projet		2017-12-13T10:04:08Z	false
M2_VR			2017-10-03T12:57:59Z	false
Memento	Memento is a Python app that records everything you do on your computer and lets you go back in time, search, and chat with a LLM (Large Language Model) to find back information about what you did.	MIT	2026-08-30T16:02:48Z	false
microduck_app			2026-08-13T19:15:27Z	false
microduck_kinematics_rs			2026-07-27T12:42:12Z	false
microduck_maploc_rs			2026-08-31T17:32:02Z	false
microduck_pet_detect			2026-08-13T15:19:06Z	false
microduck_sounds			2026-08-13T08:34:29Z	false
mjlab	Isaac Lab API, powered by MuJoCo-Warp, for RL and robotics research.	Apache-2.0	2025-12-18T10:42:34Z	true
ModelBasedFootstepPlanning-IROS2024	This repository is a open-sourced code for the IROS 2024 paper	MIT	2024-08-14T14:14:46Z	true
monty_hall	Mini simulation du problème de monty hall		2020-06-02T14:29:26Z	false
mujoco_menagerie	A collection of high-quality models for the MuJoCo physics engine, curated by Google DeepMind.	NOASSERTION	2025-02-04T10:39:41Z	true
mujoco_playground	An open-source library for GPU-accelerated robot learning and sim-to-real transfer.	Apache-2.0	2025-11-06T12:19:22Z	true
Open_Duck_Mini	Making a mini version of the BDX droid. https://discord.gg/UtJZsgfQGe	Apache-2.0	2026-09-01T12:30:29Z	false
Open_Duck_Mini_Runtime	Runtime code for Open Duck Mini		2026-09-01T06:16:47Z	false
Open_Duck_Playground	Open Duck Project's Mujoco playground RL environments		2026-09-01T06:16:54Z	false
Open_Duck_reference_motion_generator	Open Duck Project's reference motion generator		2026-09-01T06:17:00Z	false
Plotter			2022-08-29T13:42:06Z	false
Poulpe_CATIE_Edition			2018-09-05T12:13:57Z	false
Projet_ARM_ACP	M2 Project Acquisition Reconstruction Modélisation		2017-09-10T12:54:04Z	false
PT-mini-starcraft	ministarcraft dans le cadre du projet tutoré de S4		2014-01-31T10:13:30Z	true
pygase	A Python package that contains a high-performance, versatile UDP-based game server, client and network protocol with a simple API.	MIT	2020-11-07T10:48:09Z	true
pypot	  Python library for controlling dynamixel motors. Documentation available here:	GPL-3.0	2024-06-15T08:10:20Z	true
reachy_mini_discord_bot			2026-05-21T17:43:59Z	false
RemiWasWrong			2023-03-22T16:37:13Z	false
scame			2026-05-06T14:21:45Z	false
Self-Supervised-Deep-Metric-Learning-for-ancient-papyrus-fragments-retrieval			2024-03-05T01:25:10Z	false
SFML	Simple and Fast Multimedia Library	NOASSERTION	2018-02-11T12:44:05Z	true
stageL2			2015-06-17T09:25:43Z	false
teleop	Turns your phone or VR headset into a robot arm teleoperation device by leveraging WebXR	Apache-2.0	2026-01-06T20:41:13Z	true
tensorflow_generic_multiclass_CNN			2020-03-11T12:37:18Z	false
test_convolution_sdsoc			2018-06-08T14:58:29Z	false
train_notify			2026-04-28T14:26:29Z	false
tube_amps			2021-04-30T08:12:41Z	false
TUMBLESAC			2022-12-23T10:26:17Z	false
