number,part,slug,qty per robot,material,size mm (x y z),solid volume cm3,sliced weight g (FDM 0.2 mm),process now,at 1000 units,drawing PDF,STL,STEP,geometry source
1,Ankle Left,microduck-ankle-left,1,PLA,39.5 x 36.5 x 25.5,7.88,6.18,FDM print (PLA),visible part: injection mould candidate after DFM redesign,yes,in Packet A / STL zip,in Packet A / STEP zip,"vendor mesh (Pollen reference asset, loaded as-is)"
2,Ankle Right,microduck-ankle-right,1,PLA,39.5 x 36.5 x 25.5,7.88,6.18,FDM print (PLA),visible part: injection mould candidate after DFM redesign,yes,in Packet A / STL zip,in Packet A / STEP zip,"vendor mesh (Pollen reference asset, loaded as-is)"
3,Banana Pcb Locker,microduck-banana-pcb-locker,1,PLA,54.0 x 3.8 x 6.6,0.46,0.68,FDM print (PLA),keep printing (small bracket) or MJF,yes,in Packet A / STL zip,in Packet A / STEP zip,our parametric rebuild (latest PASS refcheck ours.stl)
4,Bearing Roll,microduck-bearing-roll,2,PLA,23.0 x 3.0 x 40.0,0.62,0.85,FDM print (PLA),keep printing (small bracket) or MJF,yes,in Packet A / STL zip,in Packet A / STEP zip,our parametric rebuild (latest PASS refcheck ours.stl)
5,Bottom Head Shell,microduck-bottom-head-shell,1,PLA,91.8 x 116.7 x 20.1,23.8,,FDM print (PLA),visible part: injection mould candidate after DFM redesign,,in Packet A / STL zip,in Packet A / STEP zip,"vendor mesh (Pollen reference asset, loaded as-is)"
6,Eye Ring,microduck-eye-ring,1,PLA,30.0 x 9.5 x 30.0,4.25,,FDM print (PLA),keep printing (small bracket) or MJF,,in Packet A / STL zip,in Packet A / STEP zip,"vendor mesh (Pollen reference asset, loaded as-is)"
7,Face Part,microduck-face-part,1,PLA,87.7 x 12.5 x 44.6,5.82,,FDM print (PLA),visible part: injection mould candidate after DFM redesign,,in Packet A / STL zip,in Packet A / STEP zip,"vendor mesh (Pollen reference asset, loaded as-is)"
8,Foot Left,microduck-foot-left,1,PLA,40.1 x 54.0 x 16.9,12.18,13.35,FDM print (PLA),visible part: injection mould candidate after DFM redesign,yes,in Packet A / STL zip,in Packet A / STEP zip,vendor mesh as shelved (ce-parts iterations geometry)
9,Foot Right,microduck-foot-right,1,PLA,40.1 x 54.0 x 16.9,12.18,13.35,FDM print (PLA),visible part: injection mould candidate after DFM redesign,yes,in Packet A / STL zip,in Packet A / STEP zip,vendor mesh as shelved (ce-parts iterations geometry)
10,Hip Bracket,microduck-hip-bracket,2,PLA,32.4 x 34.5 x 19.0,4.54,3.81,FDM print (PLA),keep printing (small bracket) or MJF,yes,in Packet A / STL zip,in Packet A / STEP zip,Current CAD revision
11,Jaw,microduck-jaw,1,PLA,91.4 x 68.7 x 29.4,9.36,,FDM print (PLA),visible part: injection mould candidate after DFM redesign,,in Packet A / STL zip,in Packet A / STEP zip,vendor mesh as shelved (ce-parts iterations geometry)
12,Jaw Soft,microduck-jaw-soft,1,TPU,87.7 x 32.2 x 8.4,18.6,,FDM print (TPU),keep printing (small bracket) or MJF,,in Packet A / STL zip,in Packet A / STEP zip,vendor mesh as shelved (ce-parts iterations geometry)
13,M12 Lens Holder,microduck-m12-lens-holder,1,PLA,24.0 x 14.8 x 16.0,1.1,,FDM print (PLA),keep printing (small bracket) or MJF,,in Packet A / STL zip,in Packet A / STEP zip,"vendor mesh (Pollen reference asset, loaded as-is)"
14,Motor Support,microduck-motor-support,1,PLA,73.5 x 54.2 x 18.8,7.52,9.2,FDM print (PLA),keep printing (small bracket) or MJF,yes,in Packet A / STL zip,in Packet A / STEP zip,vendor mesh as shelved (ce-parts iterations geometry)
