id,item,中文,qty per robot,supplier name 供应商,exact model offered 型号,unit price 单价,currency 币种,MOQ 起订量,lead time 交期,in stock in Shenzhen? 深圳现货?,link / photo / datasheet 链接,notes 备注
B1,Dynamixel XL330-M288-T smart servo,舵机 ROBOTIS DYNAMIXEL XL330-M288-T,15,,,,CNY,,,,,
B2,"Robot Cable-X3P 180 mm, 10-pack (Dynamixel bus leads)",舵机总线线 X3P 180mm（10条装）,2,,,,CNY,,,,,
B3,Radxa ZERO 3W single-board computer,Radxa ZERO 3W 单板电脑,1,,,,CNY,,,,,
B4,NP-F550-class battery plus one dual charger per robot (whole retail kit),NP-F550 型 2S 锂电池 + 双充充电器,1,,,,CNY,,,,,
B6,"IMX219 camera board, M12 mount, with lens",IMX219 摄像头板（M12 接口）,1,,,,CNY,,,,,
B7,M12 wide-angle lens (only if the camera board is bought bare),M12 广角镜头,1,,,,CNY,,,,,
B8,"22-pin 0.5 mm MIPI CSI FFC ribbon, Radxa to camera",22pin 0.5mm MIPI CSI 排线,1,,,,CNY,,,,,
B9,ToF module on four-pin J5/Qwiic interface; original carrier unknown,ToF 8×8 激光测距模块（VL53L5CX / L8CX）,1,,,,CNY,,,,,
B10,Ball bearing 22 x 16 x 4 mm (thin section),微型轴承 22×16×4（MR1622）,11,,,,CNY,,,,,
B11,Ball bearing 15 x 10 x 3 mm,微型轴承 15×10×3（MR6700 开式）,3,,,,CNY,,,,,
B12,"Speaker, reference envelope 35 x 25 x 7 mm (head); original electrical specification unknown",喇叭 35×25×7mm 8Ω 2W（待核实）,1,,,,CNY,,,,,
B13,Microphone(s),麦克风（型号未定）,,,,,CNY,,,,,
B14,NFC reader IC + 2 antennas (head and beak),NFC 读卡芯片 + 2 个天线,1,,,,CNY,,,,,
B15,Camera-in-use indicator LED,摄像指示 LED,1,,,,CNY,,,,,
B16,Bluetooth gamepad (Xbox-style),蓝牙手柄（Xbox 布局）,1,,,,CNY,,,,,
B17,USB-C cable,USB-C 线,1,,,,CNY,,,,,
B18a,"M2 x 6 socket head cap screw, A2 stainless, DIN 912",M2×6 内六角螺丝 不锈钢,80,,,,CNY,,,,,
B18b,"M2 socket head cap screws, other lengths (x4, x8, x12) + M2 nuts + M2.5x6",M2 内六角螺丝其他长度 + M2 螺母 + M2.5×6,185,,,,CNY,,,,,
B18c,"M2 heat-set threaded inserts, brass, ~3.0 mm",M2 热熔铜螺母,60,,,,CNY,,,,,
B19a,PLA filament (hard printed parts),PLA 耗材 1.75mm,0.2182946,,,,CNY,,,,,
B19b,"TPU filament (soft parts: soles x2, jaw_soft, soft_mouth_top)",TPU 85A 耗材 1.75mm,0.0262028,,,,CNY,,,,,
P1c,TLV320AIC3104IRHBR stereo audio codec (on the Robot HAT),音频编解码芯片 TLV320AIC3104IRHBR,1,,,,CNY,,,,,
P2c,"LSM6DSV16X 6-axis IMU (on the imu_to_dxl board, Dynamixel slave ID 200)",六轴 IMU LSM6DSV16X,1,,,,CNY,,,,,
P1d,BMI088 6-axis IMU (dormant footprint on the Robot HAT),六轴 IMU BMI088（可选）,1,,,,CNY,,,,,
R1,USB-C CC/PD controller fitted on the Radxa ZERO 3W (reference line - NOT separately purchased),USB-C PD 控制芯片（参考，随 Radxa 板自带）,0,,,,CNY,,,,,
R2,"MCP73213 2S Li-ion charge controller (in the external charger, not the robot)",MCP73213 充电管理芯片（参考，在充电器内）,0,,,,CNY,,,,,
R3,"S-8252 2S battery protection IC (inside the NP-F550 pack, not separately purchased)",S-8252 电池保护芯片（参考，在电池内）,0,,,,CNY,,,,,
C1,"JST EH 3-pin connector kit for the Dynamixel bus, if the harness is crimped rather than bought",JST EH 3pin 连接器套件（自制舵机线束用）,1,,,,CNY,,,,,
C2,JST SH 4-pin (ToF / Stemma) and GH 2-pin (speaker) housings,JST SH 4pin / GH 2pin 连接器,1,,,,CNY,,,,,
P1,"Robot HAT - custom PCB, bare board + assembly",Robot HAT 定制 PCB,1,,,,CNY,,,,,
P2,"imu_to_dxl v2 - custom PCB, bare board + assembly",imu_to_dxl v2 定制 PCB,1,,,,CNY,,,,,
P3,"Banana battery-contact PCB - custom, bare board + contacts",banana 电池触点 PCB,1,,,,CNY,,,,,
PRINT-01,Ankle Left,,1,,PLA,,CNY,,,,,print quote at 1 / 10 / 100 sets
PRINT-02,Ankle Right,,1,,PLA,,CNY,,,,,print quote at 1 / 10 / 100 sets
PRINT-03,Banana Pcb Locker,,1,,PLA,,CNY,,,,,print quote at 1 / 10 / 100 sets
PRINT-04,Bearing Roll,,2,,PLA,,CNY,,,,,print quote at 1 / 10 / 100 sets
PRINT-05,Bottom Head Shell,,1,,PLA,,CNY,,,,,print quote at 1 / 10 / 100 sets
PRINT-06,Eye Ring,,1,,PLA,,CNY,,,,,print quote at 1 / 10 / 100 sets
PRINT-07,Face Part,,1,,PLA,,CNY,,,,,print quote at 1 / 10 / 100 sets
PRINT-08,Foot Left,,1,,PLA,,CNY,,,,,print quote at 1 / 10 / 100 sets
PRINT-09,Foot Right,,1,,PLA,,CNY,,,,,print quote at 1 / 10 / 100 sets
PRINT-10,Hip Bracket,,2,,PLA,,CNY,,,,,print quote at 1 / 10 / 100 sets
PRINT-11,Jaw,,1,,PLA,,CNY,,,,,print quote at 1 / 10 / 100 sets
PRINT-12,Jaw Soft,,1,,TPU,,CNY,,,,,print quote at 1 / 10 / 100 sets
PRINT-13,M12 Lens Holder,,1,,PLA,,CNY,,,,,print quote at 1 / 10 / 100 sets
PRINT-14,Motor Support,,1,,PLA,,CNY,,,,,print quote at 1 / 10 / 100 sets
PRINT-15,Neck Pitch Bracket,,1,,PLA,,CNY,,,,,print quote at 1 / 10 / 100 sets
PRINT-16,Neck Plate,,2,,PLA,,CNY,,,,,print quote at 1 / 10 / 100 sets
PRINT-17,Power Support,,1,,PLA,,CNY,,,,,print quote at 1 / 10 / 100 sets
PRINT-18,Shin,,2,,PLA,,CNY,,,,,print quote at 1 / 10 / 100 sets
PRINT-19,Soft Mouth Top,,1,,TPU,,CNY,,,,,print quote at 1 / 10 / 100 sets
PRINT-20,Sole Left,,1,,TPU,,CNY,,,,,print quote at 1 / 10 / 100 sets
PRINT-21,Sole Right,,1,,TPU,,CNY,,,,,print quote at 1 / 10 / 100 sets
PRINT-22,Top Head Shell,,1,,PLA,,CNY,,,,,print quote at 1 / 10 / 100 sets
PRINT-23,Trunk Base,,1,,PLA,,CNY,,,,,print quote at 1 / 10 / 100 sets
PRINT-24,Trunk Shell Left,,1,,PLA,,CNY,,,,,print quote at 1 / 10 / 100 sets
