nominal_size,supplier,robots,model_need,packages_100,received,surplus,eur_including_displayed_19pct_vat_ex_shipping
M2 × 5,pegnitz,1,12,1,100,88,4.83
M2 × 5,pegnitz,100,1200,12,1200,0,57.96
M2 × 5,pegnitz,1000,12000,120,12000,0,579.6
M2 × 5,luchs,1,12,1,100,88,4.97
M2 × 5,luchs,100,1200,12,1200,0,59.64
M2 × 5,luchs,1000,12000,120,12000,0,596.4
M2 × 10,pegnitz,1,8,1,100,92,4.21
M2 × 10,pegnitz,100,800,8,800,0,33.68
M2 × 10,pegnitz,1000,8000,80,8000,0,336.8
M2 × 10,luchs,1,8,1,100,92,4.33
M2 × 10,luchs,100,800,8,800,0,34.64
M2 × 10,luchs,1000,8000,80,8000,0,346.4
M2.5 × 8,pegnitz,1,3,1,100,97,4.83
M2.5 × 8,pegnitz,100,300,3,300,0,14.49
M2.5 × 8,pegnitz,1000,3000,30,3000,0,144.9
M2.5 × 8,luchs,1,3,1,100,97,4.97
M2.5 × 8,luchs,100,300,3,300,0,14.91
M2.5 × 8,luchs,1000,3000,30,3000,0,149.1
