joint_row,side,interface,instance,connection,counterpart_ref,counterpart_interface
0,a,horn,11,connection:spline-xl330-horn,part:microduck-yaw2roll,yaw_horn
1,a,horn,11,connection:spline-xl330-horn,part:microduck-hip-bracket,roll_horn
2,a,horn,20,connection:spline-xl330-horn,part:microduck-hip-bracket,pitch_horn
3,a,horn,17,connection:spline-xl330-horn,part:microduck-shin,knee
4,a,horn,22,connection:spline-xl330-horn,part:microduck-ankle-left,ankle_horn
5,a,horn,28,connection:spline-xl330-horn,part:microduck-trunk-shell-left,neck_horn
6,a,horn,29,connection:spline-xl330-horn,part:microduck-neck-pitch-bracket,pitch_horn_right
7,a,horn,34,connection:spline-xl330-horn,part:microduck-neck-pitch-bracket,yaw_horn_top
8,a,horn,43,connection:spline-xl330-horn,part:microduck-motor-support,head_roll
9,a,horn,54,connection:spline-xl330-horn,part:microduck-yaw2roll,yaw_horn
10,a,horn,54,connection:spline-xl330-horn,part:microduck-hip-bracket,roll_horn
11,a,horn,63,connection:spline-xl330-horn,part:microduck-hip-bracket,pitch_horn
12,a,horn,59,connection:spline-xl330-horn,part:microduck-shin,knee
13,a,horn,64,connection:spline-xl330-horn,part:microduck-ankle-right,ankle_horn
14,b,mesh_pilot_6,upper_leg_left/xl330-m288-t#20,connection:threaded-m2,part:screw-m2-iso4762,thread_ext
15,b,mesh_pilot_0,upper_leg_left/xl330-m288-t#20,connection:threaded-m2,part:screw-m2-iso4762,thread_ext
17,b,mesh_pilot_3,neck/xl330-m288-t#28,connection:threaded-m2,part:screw-m2-iso4762,thread_ext
18,b,mesh_pilot_2,neck/xl330-m288-t#28,connection:threaded-m2,part:screw-m2-iso4762,thread_ext
19,b,mesh_pilot_4,neck/xl330-m288-t#28,connection:threaded-m2,part:screw-m2-iso4762,thread_ext
20,b,mesh_pilot_7,neck/xl330-m288-t#28,connection:threaded-m2,part:screw-m2-iso4762,thread_ext
21,b,mesh_pilot_0,trunk_base/xl330-m288-t#4,connection:threaded-m2,part:screw-m2-iso4762,thread_ext
22,b,mesh_pilot_1,trunk_base/xl330-m288-t#4,connection:threaded-m2,part:screw-m2-iso4762,thread_ext
23,b,mesh_pilot_6,trunk_base/xl330-m288-t#4,connection:threaded-m2,part:screw-m2-iso4762,thread_ext
24,b,mesh_pilot_5,trunk_base/xl330-m288-t#4,connection:threaded-m2,part:screw-m2-iso4762,thread_ext
25,b,mesh_pilot_0,trunk_base/xl330-m288-t#7,connection:threaded-m2,part:screw-m2-iso4762,thread_ext
26,b,mesh_pilot_1,trunk_base/xl330-m288-t#7,connection:threaded-m2,part:screw-m2-iso4762,thread_ext
27,b,mesh_pilot_6,trunk_base/xl330-m288-t#7,connection:threaded-m2,part:screw-m2-iso4762,thread_ext
28,b,mesh_pilot_5,trunk_base/xl330-m288-t#7,connection:threaded-m2,part:screw-m2-iso4762,thread_ext
29,b,mesh_pilot_6,yaw2roll/xl330-m288-t#11,connection:threaded-m2,part:screw-m2-iso4762,thread_ext
30,b,mesh_pilot_5,yaw2roll/xl330-m288-t#11,connection:threaded-m2,part:screw-m2-iso4762,thread_ext
31,b,mesh_pilot_1,upper_leg_right/xl330-m288-t#63,connection:threaded-m2,part:screw-m2-iso4762,thread_ext
32,b,mesh_pilot_5,upper_leg_left/xl330-m288-t#20,connection:threaded-m2,part:screw-m2-iso4762,thread_ext
33,b,mesh_pilot_6,upper_leg_right/xl330-m288-t#63,connection:threaded-m2,part:screw-m2-iso4762,thread_ext
34,b,mesh_pilot_5,upper_leg_right/xl330-m288-t#63,connection:threaded-m2,part:screw-m2-iso4762,thread_ext
35,b,mesh_pilot_1,upper_leg_left/xl330-m288-t#20,connection:threaded-m2,part:screw-m2-iso4762,thread_ext
36,b,mesh_pilot_0,leg_2/xl330-m288-t#64,connection:threaded-m2,part:screw-m2-iso4762,thread_ext
37,b,mesh_pilot_0,leg/xl330-m288-t#22,connection:threaded-m2,part:screw-m2-iso4762,thread_ext
38,b,mesh_pilot_5,leg_2/xl330-m288-t#64,connection:threaded-m2,part:screw-m2-iso4762,thread_ext
39,b,mesh_pilot_1,leg/xl330-m288-t#22,connection:threaded-m2,part:screw-m2-iso4762,thread_ext
40,b,mesh_pilot_6,leg_2/xl330-m288-t#64,connection:threaded-m2,part:screw-m2-iso4762,thread_ext
41,b,mesh_pilot_6,leg/xl330-m288-t#22,connection:threaded-m2,part:screw-m2-iso4762,thread_ext
42,b,mesh_pilot_1,leg_2/xl330-m288-t#64,connection:threaded-m2,part:screw-m2-iso4762,thread_ext
43,b,mesh_pilot_5,leg/xl330-m288-t#22,connection:threaded-m2,part:screw-m2-iso4762,thread_ext
45,b,mesh_pilot_7,neck/xl330-m288-t#29,connection:threaded-m2,part:screw-m2-iso4762,thread_ext
46,b,mesh_pilot_3,neck/xl330-m288-t#29,connection:threaded-m2,part:screw-m2-iso4762,thread_ext
47,b,mesh_pilot_2,neck/xl330-m288-t#29,connection:threaded-m2,part:screw-m2-iso4762,thread_ext
48,b,mesh_pilot_4,neck/xl330-m288-t#29,connection:threaded-m2,part:screw-m2-iso4762,thread_ext
49,b,mesh_pilot_6,yaw_roll_motion/xl330-m288-t#34,connection:threaded-m2,part:screw-m2-iso4762,thread_ext
50,b,mesh_pilot_0,yaw_roll_motion/xl330-m288-t#34,connection:threaded-m2,part:screw-m2-iso4762,thread_ext
51,b,mesh_pilot_1,yaw_roll_motion/xl330-m288-t#34,connection:threaded-m2,part:screw-m2-iso4762,thread_ext
52,b,mesh_pilot_1,jaw_soft/xl330-m288-t#43,connection:threaded-m2,part:screw-m2-iso4762,thread_ext
53,b,mesh_pilot_6,jaw_soft/xl330-m288-t#43,connection:threaded-m2,part:screw-m2-iso4762,thread_ext
54,b,mesh_pilot_0,jaw_soft/xl330-m288-t#43,connection:threaded-m2,part:screw-m2-iso4762,thread_ext
55,b,mesh_pilot_5,jaw_soft/xl330-m288-t#43,connection:threaded-m2,part:screw-m2-iso4762,thread_ext
58,b,mesh_pilot_0,bearing_roll/xl330-m288-t#54,connection:threaded-m2,part:screw-m2-iso4762,thread_ext
59,b,mesh_pilot_1,bearing_roll/xl330-m288-t#54,connection:threaded-m2,part:screw-m2-iso4762,thread_ext
61,b,mesh_pilot_0,yaw2roll/xl330-m288-t#11,connection:threaded-m2,part:screw-m2-iso4762,thread_ext
62,b,mesh_pilot_1,yaw2roll/xl330-m288-t#11,connection:threaded-m2,part:screw-m2-iso4762,thread_ext
63,b,mesh_pilot_0,upper_leg_right/xl330-m288-t#63,connection:threaded-m2,part:screw-m2-iso4762,thread_ext
64,b,mesh_pilot_5,yaw_roll_motion/xl330-m288-t#34,connection:threaded-m2,part:screw-m2-iso4762,thread_ext
65,b,mesh_pilot_0,jaw_soft/xl330-m288-t#39,connection:threaded-m2,part:screw-m2-iso4762,thread_ext
66,b,mesh_pilot_1,jaw_soft/xl330-m288-t#39,connection:threaded-m2,part:screw-m2-iso4762,thread_ext
67,b,mesh_pilot_6,jaw_soft/xl330-m288-t#39,connection:threaded-m2,part:screw-m2-iso4762,thread_ext
68,b,mesh_pilot_5,jaw_soft/xl330-m288-t#39,connection:threaded-m2,part:screw-m2-iso4762,thread_ext
70,b,mesh_pilot_6,bearing_roll/xl330-m288-t#54,connection:threaded-m2,part:screw-m2-iso4762,thread_ext
71,b,mesh_pilot_5,bearing_roll/xl330-m288-t#54,connection:threaded-m2,part:screw-m2-iso4762,thread_ext
