id,from,to,pins,connector,quantity,source_route_verdict,geometry,physical_cut_mm,physical_route_verdict,rendered
dxl-hat-id34,hat,id34,"1 GND, 2 VDD, 3 DATA","JST EH 3-pin (EHR-03 housing, SEH-001T-P0.6 crimp) both ends — ROBOTIS' 'X3P' lead",1,CANNOT DETERMINE,out/wiring/cad/dxl-hat-id34.stl,,CANNOT DETERMINE,True
dxl-id34-id33,id34,id33,"1 GND, 2 VDD, 3 DATA","JST EH 3-pin (EHR-03 housing, SEH-001T-P0.6 crimp) both ends — ROBOTIS' 'X3P' lead",1,CANNOT DETERMINE,out/wiring/cad/dxl-id34-id33.stl,,CANNOT DETERMINE,True
dxl-id33-id32,id33,id32,"1 GND, 2 VDD, 3 DATA","JST EH 3-pin (EHR-03 housing, SEH-001T-P0.6 crimp) both ends — ROBOTIS' 'X3P' lead",1,FAIL,,,CANNOT DETERMINE,False
dxl-id32-id31,id32,id31,"1 GND, 2 VDD, 3 DATA","JST EH 3-pin (EHR-03 housing, SEH-001T-P0.6 crimp) both ends — ROBOTIS' 'X3P' lead",1,FAIL,out/wiring/cad/dxl-id32-id31.stl,,CANNOT DETERMINE,True
dxl-id31-id30,id31,id30,"1 GND, 2 VDD, 3 DATA","JST EH 3-pin (EHR-03 housing, SEH-001T-P0.6 crimp) both ends — ROBOTIS' 'X3P' lead",1,CANNOT DETERMINE,out/wiring/cad/dxl-id31-id30.stl,,CANNOT DETERMINE,True
dxl-id30-imu200,id30,imu200,"1 GND, 2 VDD, 3 DATA","JST EH 3-pin (EHR-03 housing, SEH-001T-P0.6 crimp) both ends — ROBOTIS' 'X3P' lead",1,CANNOT DETERMINE,out/wiring/cad/dxl-id30-imu200.stl,,CANNOT DETERMINE,True
dxl-imu200-id20,imu200,id20,"1 GND, 2 VDD, 3 DATA","JST EH 3-pin (EHR-03 housing, SEH-001T-P0.6 crimp) both ends — ROBOTIS' 'X3P' lead",1,FAIL,out/wiring/cad/dxl-imu200-id20.stl,,CANNOT DETERMINE,True
dxl-id20-id21,id20,id21,"1 GND, 2 VDD, 3 DATA","JST EH 3-pin (EHR-03 housing, SEH-001T-P0.6 crimp) both ends — ROBOTIS' 'X3P' lead",1,CANNOT DETERMINE,out/wiring/cad/dxl-id20-id21.stl,,CANNOT DETERMINE,True
dxl-id21-id22,id21,id22,"1 GND, 2 VDD, 3 DATA","JST EH 3-pin (EHR-03 housing, SEH-001T-P0.6 crimp) both ends — ROBOTIS' 'X3P' lead",1,CANNOT DETERMINE,out/wiring/cad/dxl-id21-id22.stl,,CANNOT DETERMINE,True
dxl-id22-id23,id22,id23,"1 GND, 2 VDD, 3 DATA","JST EH 3-pin (EHR-03 housing, SEH-001T-P0.6 crimp) both ends — ROBOTIS' 'X3P' lead",1,CANNOT DETERMINE,out/wiring/cad/dxl-id22-id23.stl,,CANNOT DETERMINE,True
dxl-id23-id24,id23,id24,"1 GND, 2 VDD, 3 DATA","JST EH 3-pin (EHR-03 housing, SEH-001T-P0.6 crimp) both ends — ROBOTIS' 'X3P' lead",1,CANNOT DETERMINE,out/wiring/cad/dxl-id23-id24.stl,,CANNOT DETERMINE,True
dxl-imu200-id10,imu200,id10,"1 GND, 2 VDD, 3 DATA","JST EH 3-pin (EHR-03 housing, SEH-001T-P0.6 crimp) both ends — ROBOTIS' 'X3P' lead",1,CANNOT DETERMINE,out/wiring/cad/dxl-imu200-id10.stl,,CANNOT DETERMINE,True
dxl-id10-id11,id10,id11,"1 GND, 2 VDD, 3 DATA","JST EH 3-pin (EHR-03 housing, SEH-001T-P0.6 crimp) both ends — ROBOTIS' 'X3P' lead",1,CANNOT DETERMINE,out/wiring/cad/dxl-id10-id11.stl,,CANNOT DETERMINE,True
dxl-id11-id12,id11,id12,"1 GND, 2 VDD, 3 DATA","JST EH 3-pin (EHR-03 housing, SEH-001T-P0.6 crimp) both ends — ROBOTIS' 'X3P' lead",1,CANNOT DETERMINE,out/wiring/cad/dxl-id11-id12.stl,,CANNOT DETERMINE,True
dxl-id12-id13,id12,id13,"1 GND, 2 VDD, 3 DATA","JST EH 3-pin (EHR-03 housing, SEH-001T-P0.6 crimp) both ends — ROBOTIS' 'X3P' lead",1,CANNOT DETERMINE,out/wiring/cad/dxl-id12-id13.stl,,CANNOT DETERMINE,True
dxl-id13-id14,id13,id14,"1 GND, 2 VDD, 3 DATA","JST EH 3-pin (EHR-03 housing, SEH-001T-P0.6 crimp) both ends — ROBOTIS' 'X3P' lead",1,CANNOT DETERMINE,out/wiring/cad/dxl-id13-id14.stl,,CANNOT DETERMINE,True
tof-hat,hat,tof,"GND, 3V3, SDA, SCL (I2C3, addr 0x29)",JST-SH 4-pin 1.0 mm (Stemma/Qwiic) at the HAT's J5; the ToF board's end CANNOT DETERMINE,1,CANNOT DETERMINE,out/wiring/cad/tof-hat.stl,,CANNOT DETERMINE,True
spk-hat,hat,speaker,Public HAT J1: differential SPK+/SPK- from PAM8406D U1 via FB2/FB3; original fitted speaker/termination unconfirmed,"Representative speaker lead is not original proof; public HAT J1 Wago terminal footprint, target termination unknown",1,FAIL,,,CANNOT DETERMINE,False
mic-hat,hat,mic,Optional external microphone path via public J2/J9; public board already has onboard MEMS MK1,CANNOT DETERMINE,1,CANNOT DETERMINE,,,CANNOT DETERMINE,False
csi-radxa-camera,radxa,camera,"22-pin MIPI CSI: 2 data lanes + clock (differential pairs), I2C2 SDA/SCL, CAMERAB_PDN_L, VCC_3V3, GND",22-pin 0.5 mm FFC at the Radxa (Radxa wiki); the camera-board end CANNOT DETERMINE (22-pin 0.5 mm or 15-pin 1.0 mm + adapter),1,FAIL,,,CANNOT DETERMINE,False
bat-hat,battery,hat,"BAT+, BAT- (via the banana contact PCB)","battery contacts -> banana contact PCB (spring contacts, part unknown) -> HAT battery input (connector CANNOT DETERMINE)",1,FAIL,,,CANNOT DETERMINE,False
hat-radxa-40pin,hat,radxa,"40-pin header: 5 V (pins 2/4), GND, UART2 (8/10), I2C3 (3/5), I2S3 (M0: 12/35/38/40 measured on pinned public HAT; pin 13 NC; MCLK from local Y1 12 MHz; installed revision unconfirmed)","2x20 0.1 in header, board-to-board — not a cable",1,CANNOT DETERMINE,,,CANNOT DETERMINE,False
hat-dxl-port,hat,id34,SERVO_V + DXL_DATA + GND leave the HAT on the first chain cable,"Public HAT J13/J14 3-pin DXL footprints; original chosen port, termination and revision unresolved",0,CANNOT DETERMINE,,,CANNOT DETERMINE,False
