Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
J1,40-pin GPIO,header-2x20,32.5000mm,26.5000mm,90.00,top
U1,TLV320AIC3104,qfn-32,11.0000mm,15.0000mm,0.00,top
U2,Pololu D30V30F5,pololu-d30v30f5,49.6000mm,12.0000mm,0.00,top
U3,BMI088 (dormant),bmi088-lga16,19.0000mm,15.0000mm,0.00,top
U4,74LVC1G125,sot753,38.5000mm,14.0000mm,0.00,top
J2,VBAT in (B2B-XH-A),jst-b2b-xh-a,10.2000mm,4.2000mm,0.00,top
J3,DXL bus (B3B-EH-A),jst-b3b-eh-a,28.3500mm,3.6000mm,0.00,top
J5,Stemma J5 (SM04B-SRSS-TB),jst-sh4-smt-side,4.5000mm,15.0000mm,90.00,top
J6,speaker (B2B-PH-K-S),jst-b2b-ph-k-s,37.0000mm,3.6000mm,0.00,top
J7,mic (B3B-PH-K-S),jst-b3b-ph-k-s,18.6500mm,3.6000mm,0.00,top
R1,0R link VBAT->SERVO_V,1206,24.0000mm,8.5000mm,0.00,top
R2,10k,0603,31.5000mm,11.5000mm,90.00,top
R4,0R DATA->RX,0603,39.0000mm,9.0000mm,90.00,top
R12,10k,0603,26.0000mm,21.5000mm,90.00,top
R13,10k,0603,29.0000mm,21.5000mm,90.00,top
C1,100n SERVO_V,0603,29.0000mm,8.5000mm,0.00,top
C2,bulk (value CANNOT DETERMINE),1210,33.5000mm,8.2000mm,0.00,top
C3,100n U4 VCC,0603,35.5000mm,14.0000mm,90.00,top
C4,100n,0603,11.0000mm,10.5000mm,0.00,top
C5,100n,0603,15.0000mm,11.5000mm,90.00,top
C6,100n,0603,7.6000mm,9.5000mm,0.00,top
C7,100n,0603,16.5000mm,19.5000mm,0.00,top
C8,100n,0603,22.0000mm,19.5000mm,0.00,top
TP1,HAT_1V8 (unsourced),test-point,11.0000mm,21.5000mm,0.00,top
