id,item,type,review_result,comment
S01,Body and battery / 机身与电池,Section,,
S02,Left hip yaw / 左髋偏航,Section,,
S03,Left hip / 左髋,Section,,
S04,Left upper leg / 左大腿,Section,,
S05,Left lower leg / 左小腿,Section,,
S06,Left foot / 左脚,Section,,
S07,Neck / 颈部,Section,,
S08,Neck pitch / 颈部俯仰,Section,,
S09,Head yaw and roll / 头部偏航与横滚,Section,,
S10,Head and face / 头部与面部,Section,,
S11,Head roll support / 头部横滚支撑,Section,,
S12,Right hip / 右髋,Section,,
S13,Right upper leg / 右大腿,Section,,
S14,Right lower leg / 右小腿,Section,,
S15,Right foot / 右脚,Section,,
P01,Ankle Left,Component,,
P02,Ankle Right,Component,,
P03,Banana Pcb Locker,Component,,
P04,Bearing Roll,Component,,
P05,Bottom Head Shell,Component,,
P06,Eye Ring,Component,,
P07,Face Part,Component,,
P08,Foot Left,Component,,
P09,Foot Right,Component,,
P10,Hip Bracket,Component,,
P11,Jaw,Component,,
P12,Jaw Soft,Component,,
P13,M12 Lens Holder,Component,,
P14,Motor Support,Component,,
P15,Neck Pitch Bracket,Component,,
P16,Neck Plate,Component,,
P17,Power Support,Component,,
P18,Shin,Component,,
P19,Soft Mouth Top,Component,,
P20,Sole Left,Component,,
P21,Sole Right,Component,,
P22,Top Head Shell,Component,,
P23,Trunk Base,Component,,
P24,Trunk Shell Left,Component,,
P25,Trunk Shell Right,Component,,
P26,Upper Leg Left,Component,,
P27,Upper Leg Right,Component,,
P28,Upper Leg Rigidity Plate,Component,,
P29,Yaw Roll Motion,Component,,
P30,Yaw2Roll,Component,,
P31,Bearing 22X16X4,Component,,
P32,Xl330 M288 T,Component,,
P33,Np F550,Component,,
P34,Bearing 15X10X3,Component,,
P35,M12 Lens,Component,,
P36,Robot Hat Pcb,Component,,
P37,Radxa Zero 3W,Component,,
P38,Speaker,Component,,
J01,Left Hip Yaw,Connection,,
J02,Left Hip Roll,Connection,,
J03,Left Hip Pitch,Connection,,
J04,Left Knee,Connection,,
J05,Left Ankle,Connection,,
J06,Neck Pitch,Connection,,
J07,Head Pitch,Connection,,
J08,Head Yaw,Connection,,
J09,Head Roll,Connection,,
J10,Right Hip Yaw,Connection,,
J11,Right Hip Roll,Connection,,
J12,Right Hip Pitch,Connection,,
J13,Right Knee,Connection,,
J14,Right Ankle,Connection,,
J15,Fastener 1,Connection,,
J16,Fastener 2,Connection,,
J17,Fastener 3,Connection,,
J18,Fastener 4,Connection,,
J19,Fastener 5,Connection,,
J20,Fastener 6,Connection,,
J21,Fastener 7,Connection,,
J22,Fastener 8,Connection,,
J23,Fastener 9,Connection,,
J24,Fastener 10,Connection,,
J25,Fastener 11,Connection,,
J26,Fastener 12,Connection,,
J27,Fastener 13,Connection,,
J28,Fastener 14,Connection,,
J29,Fastener 15,Connection,,
J30,Fastener 16,Connection,,
J31,Fastener 17,Connection,,
J32,Fastener 18,Connection,,
J33,Fastener 19,Connection,,
J34,Fastener 20,Connection,,
J35,Fastener 21,Connection,,
J36,Fastener 22,Connection,,
J37,Fastener 23,Connection,,
J38,Fastener 24,Connection,,
J39,Fastener 25,Connection,,
J40,Fastener 26,Connection,,
J41,Fastener 27,Connection,,
J42,Fastener 28,Connection,,
J43,Fastener 29,Connection,,
J44,Fastener 30,Connection,,
J45,Fastener 31,Connection,,
J46,Fastener 32,Connection,,
J47,Fastener 33,Connection,,
J48,Fastener 34,Connection,,
J49,Fastener 35,Connection,,
J50,Fastener 36,Connection,,
J51,Fastener 37,Connection,,
J52,Fastener 38,Connection,,
J53,Fastener 39,Connection,,
J54,Fastener 40,Connection,,
J55,Fastener 41,Connection,,
J56,Fastener 42,Connection,,
J57,Fastener 43,Connection,,
J58,Fastener 44,Connection,,
J59,Fastener 45,Connection,,
J60,Fastener 46,Connection,,
J61,Fastener 47,Connection,,
J62,Fastener 48,Connection,,
J63,Fastener 49,Connection,,
J64,Fastener 50,Connection,,
J65,Fastener 51,Connection,,
J66,Fastener 52,Connection,,
J67,Fastener 53,Connection,,
J68,Fastener 54,Connection,,
J69,Fastener 55,Connection,,
J70,Fastener 56,Connection,,
J71,Fastener 57,Connection,,
J72,Fastener 58,Connection,,
J73,Fastener 59,Connection,,
J74,Fastener 60,Connection,,
J75,Fastener 61,Connection,,
J76,Fastener 62,Connection,,
J77,Fastener 63,Connection,,
J78,Fastener 64,Connection,,
