number,part,slug,quantity,source_kind,source_path,stl,drawing_files,triangles,measured_bbox_mm,manifest_bounds_match
1,Ankle Left,microduck-ankle-left,1,"vendor mesh (Pollen reference asset, loaded as-is)",out/print/stl/PLA/microduck-ankle-left.stl,02 Look at the parts/01 Ankle Left/Ankle Left.stl,8,4978,"[39.489139556884766, 36.50000038743019, 25.499998807907104]",True
2,Ankle Right,microduck-ankle-right,1,"vendor mesh (Pollen reference asset, loaded as-is)",out/print/stl/PLA/microduck-ankle-right.stl,02 Look at the parts/02 Ankle Right/Ankle Right.stl,8,4976,"[39.489139556884766, 36.50000038743019, 25.499998807907104]",True
3,Banana Pcb Locker,microduck-banana-pcb-locker,1,our parametric rebuild (latest PASS refcheck ours.stl),out/print/stl/PLA/microduck-banana-pcb-locker.stl,02 Look at the parts/03 Banana Pcb Locker/Banana Pcb Locker.stl,14,1316,"[54.015281677246094, 3.799999237060547, 6.625999450683594]",True
4,Bearing Roll,microduck-bearing-roll,2,our parametric rebuild (latest PASS refcheck ours.stl),out/print/stl/PLA/microduck-bearing-roll.stl,02 Look at the parts/04 Bearing Roll/Bearing Roll.stl,8,5956,"[23.0, 3.0, 40.0]",True
5,Bottom Head Shell,microduck-bottom-head-shell,1,"vendor mesh (Pollen reference asset, loaded as-is)",out/print/stl/PLA/microduck-bottom-head-shell.stl,02 Look at the parts/05 Bottom Head Shell/Bottom Head Shell.stl,1,20970,"[91.76302719116211, 116.7482795715332, 20.13625717163086]",True
6,Eye Ring,microduck-eye-ring,1,"vendor mesh (Pollen reference asset, loaded as-is)",out/print/stl/PLA/microduck-eye-ring.stl,02 Look at the parts/06 Eye Ring/Eye Ring.stl,6,984,"[30.0, 9.500003814697266, 30.0]",True
7,Face Part,microduck-face-part,1,"vendor mesh (Pollen reference asset, loaded as-is)",out/print/stl/PLA/microduck-face-part.stl,02 Look at the parts/07 Face Part/Face Part.stl,1,11412,"[87.65069580078125, 12.5, 44.6264808177948]",True
8,Foot Left,microduck-foot-left,1,vendor mesh as shelved (ce-parts iterations geometry),out/print/stl/PLA/microduck-foot-left.stl,02 Look at the parts/08 Foot Left/Foot Left.stl,8,19922,"[40.08550262451172, 54.0, 16.909019470214844]",True
9,Foot Right,microduck-foot-right,1,vendor mesh as shelved (ce-parts iterations geometry),out/print/stl/PLA/microduck-foot-right.stl,02 Look at the parts/09 Foot Right/Foot Right.stl,8,19914,"[40.08550262451172, 54.0, 16.909019470214844]",True
10,Hip Bracket,microduck-hip-bracket,2,Current CAD revision,research/mesh-quality-2026-09-09/microduck-hip-bracket.stl,02 Look at the parts/10 Hip Bracket/Hip Bracket.stl,8,19786,"[32.44704818725586, 34.497047424316406, 19.0]",Superseded by current CAD revision
