Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
U1,LSM6DSV16X,lga-14l-2p5x3,25.0000mm,12.5000mm,0.00,top
U2,STM32G031F6P6,tssop-20,11.5000mm,12.5000mm,0.00,top
U3,74LVC1G125,sot753,31.5000mm,12.5000mm,0.00,top
U4,LP2985A-33DBVR,sot-23-5,5.0000mm,11.0000mm,90.00,top
J1,DXL bus (B3B-EH-A),jst-b3b-eh-a,6.5000mm,2.6000mm,0.00,top
J2,DXL bus (B3B-EH-A),jst-b3b-eh-a,18.5000mm,2.6000mm,0.00,top
J3,DXL bus (B3B-EH-A),jst-b3b-eh-a,30.5000mm,2.6000mm,0.00,top
C1,1u CIN,0603,3.5000mm,15.0000mm,0.00,top
C2,4u7 COUT,0805,8.0000mm,19.0000mm,0.00,top
C3,10n BYPASS,0603,12.0000mm,19.0000mm,0.00,top
C4,100n,0603,22.0000mm,16.5000mm,0.00,top
C5,100n,0603,28.0000mm,16.5000mm,0.00,top
C6,100n,0603,17.0000mm,12.5000mm,0.00,top
C7,100n,0603,35.0000mm,12.5000mm,90.00,top
C8,100n NRST,0603,17.0000mm,9.5000mm,0.00,top
R1,0R DXL_DATA->U3.Y,0603,31.5000mm,8.5000mm,0.00,top
R2,0R DXL_DATA->RX,0603,35.0000mm,8.5000mm,0.00,top
TP1,SWDIO,test-point,16.5000mm,19.5000mm,0.00,top
TP2,SWCLK,test-point,19.1000mm,19.5000mm,0.00,top
TP3,NRST,test-point,21.7000mm,19.5000mm,0.00,top
TP4,3V3,test-point,24.3000mm,19.5000mm,0.00,top
TP5,GND,test-point,26.9000mm,19.5000mm,0.00,top
