#### axis z
    Run designs through bin/cad — FreeCAD's interpreter ignores PYTHONPATH and `FreeCAD -c` hangs on stdin.
    cecad.electrical and cecad.vision are kernel-free and work here.]
z          width x    width y     x range                  y range                  segs
-22.033    34.000     7.877       [33.0, 67.0]             [18.062, 25.938]         16
-21.052    34.000     20.429      [33.0, 67.0]             [15.234, 35.663]         86
-20.071    34.000     22.233      [33.0, 67.0]             [13.43, 35.663]          86
-19.090    34.000     23.650      [33.0, 67.0]             [12.013, 35.663]         84
-18.109    34.000     24.804      [33.0, 67.0]             [10.86, 35.663]          78
-17.129    34.000     25.765      [33.0, 67.0]             [9.898, 35.663]          66
-16.148    34.000     26.578      [33.0, 67.0]             [9.085, 35.663]          52
-15.167    39.328     36.500      [30.441, 69.769]         [0.163, 36.663]          391
-14.186    39.094     36.500      [30.552, 69.647]         [0.163, 36.663]          426
-13.206    38.860     34.596      [30.664, 69.524]         [1.99, 36.586]           325
-12.225    38.626     30.513      [30.775, 69.401]         [5.517, 36.03]           222
-11.244    38.392     28.107      [30.886, 69.279]         [7.368, 35.475]          264
-10.263    38.158     26.177      [30.998, 69.156]         [8.743, 34.919]          341
-9.283     37.924     24.564      [31.109, 69.033]         [9.799, 34.364]          336
-8.302     37.690     23.140      [31.22, 68.911]          [10.668, 33.808]         270
-7.321     37.457     21.865      [31.331, 68.788]         [11.387, 33.253]         262
-6.340     37.223     20.715      [31.443, 68.665]         [11.982, 32.697]         116
-5.359     36.989     19.671      [31.554, 68.543]         [12.471, 32.142]         170
-4.379     36.755     18.720      [31.665, 68.42]          [12.867, 31.586]         258
-3.398     36.521     17.831      [31.777, 68.297]         [13.199, 31.031]         235
-2.417     36.287     16.898      [31.888, 68.175]         [13.577, 30.475]         239
-1.436     36.053     15.819      [31.999, 68.052]         [14.087, 29.906]         217
-0.456     35.819     14.448      [32.11, 67.929]          [14.778, 29.226]         124
0.525      35.585     12.630      [32.222, 67.807]         [15.684, 28.314]         169
1.506      35.351     10.135      [32.333, 67.684]         [16.932, 27.066]         198
2.487      35.117     6.196       [32.444, 67.561]         [18.899, 25.096]         141
#### axis x
    Run designs through bin/cad — FreeCAD's interpreter ignores PYTHONPATH and `FreeCAD -c` hangs on stdin.
    cecad.electrical and cecad.vision are kernel-free and work here.]
x          width y    width z     y range                  z range                  segs
31.124     36.500     6.692       [0.163, 36.663]          [-15.842, -9.15]         145
32.643     36.500     18.819      [0.163, 36.663]          [-15.842, 2.977]         262
34.162     36.500     25.500      [0.163, 36.663]          [-22.523, 2.977]         326
35.680     36.500     9.181       [0.163, 36.663]          [-22.523, -13.342]       147
37.199     36.500     9.181       [0.163, 36.663]          [-22.523, -13.342]       147
38.718     36.500     9.181       [0.163, 36.663]          [-22.523, -13.342]       140
40.237     36.500     9.181       [0.163, 36.663]          [-22.523, -13.342]       140
41.756     36.500     9.181       [0.163, 36.663]          [-22.523, -13.342]       140
43.274     36.500     9.181       [0.163, 36.663]          [-22.523, -13.342]       140
44.793     36.500     9.181       [0.163, 36.663]          [-22.523, -13.342]       157
46.312     36.500     9.181       [0.163, 36.663]          [-22.523, -13.342]       157
47.831     36.500     9.181       [0.163, 36.663]          [-22.523, -13.342]       166
49.350     36.500     9.181       [0.163, 36.663]          [-22.523, -13.342]       133
50.868     36.500     9.181       [0.163, 36.663]          [-22.523, -13.342]       149
